Puissance,recuperation,duree
8209.944250922259, ,0.1
8111.4955270864075, ,0.1
8308.137923597133, ,0.1
8209.944250922259, ,0.1
8156.154063502077, ,0.1
8057.641832951442, ,0.1
8352.413371120409, ,0.1
7904.5225342542, ,0.1
8209.944250922259, ,0.1
8406.076545111026, ,0.1
8156.154063502077, ,0.1
8111.4955270864075, ,0.1
8254.411242891732, ,0.1
8156.154063502077, ,0.1
8003.3538348315205, ,0.1
8111.4955270864075, ,0.1
8298.317429597608, ,0.1
8057.641832951442, ,0.1
8057.641832951442, ,0.1
8352.413371120409, ,0.1
8156.154063502077, ,0.1
8003.3538348315205, ,0.1
8254.411242891732, ,0.1
8003.3538348315205, ,0.1
8111.4955270864075, ,0.1
8406.076545111026, ,0.1
8057.641832951442, ,0.1
7904.5225342542, ,0.1
8200.251282503223, ,0.1
8352.413371120409, ,0.1
7904.5225342542, ,0.1
8003.3538348315205, ,0.1
8101.930084247862, ,0.1
8156.154063502077, ,0.1
8308.137923597133, ,0.1
8254.411242891732, ,0.1
8057.641832951442, ,0.1
8264.168230176474, ,0.1
8352.413371120409, ,0.1
7958.874551239831, ,0.1
8101.930084247862, ,0.1
8156.154063502077, ,0.1
8101.930084247862, ,0.1
8308.137923597133, ,0.1
8308.137923597133, ,0.1
7958.874551239831, ,0.1
8101.930084247862, ,0.1
8352.413371120409, ,0.1
8308.137923597133, ,0.1
8209.944250922259, ,0.1
8362.297883985639, ,0.1
8308.137923597133, ,0.1
7904.5225342542, ,0.1
8156.154063502077, ,0.1
8352.413371120409, ,0.1
8057.641832951442, ,0.1
8111.4955270864075, ,0.1
8308.137923597133, ,0.1
8209.944250922259, ,0.1
8012.791752089576, ,0.1
8156.154063502077, ,0.1
8352.413371120409, ,0.1
8057.641832951442, ,0.1
8209.944250922259, ,0.1
8352.413371120409, ,0.1
8209.944250922259, ,0.1
8012.791752089576, ,0.1
8254.411242891732, ,0.1
8406.076545111026, ,0.1
8003.3538348315205, ,0.1
8352.413371120409, ,0.1
8156.154063502077, ,0.1
8111.4955270864075, ,0.1
8254.411242891732, ,0.1
8352.413371120409, ,0.1
8101.930084247862, ,0.1
8264.168230176474, ,0.1
8557.792038121035, ,0.1
8057.641832951442, ,0.1
8057.641832951442, ,0.1
8362.297883985639, ,0.1
8209.944250922259, ,0.1
8111.4955270864075, ,0.1
8416.024564691039, ,0.1
8460.172486633826, ,0.1
8057.641832951442, ,0.1
8209.944250922259, ,0.1
8308.137923597133, ,0.1
8308.137923597133, ,0.1
8308.137923597133, ,0.1
8503.760115463943, ,0.1
8111.4955270864075, ,0.1
8111.4955270864075, ,0.1
8362.297883985639, ,0.1
8012.791752089576, ,0.1
8156.154063502077, ,0.1
8416.024564691039, ,0.1
8308.137923597133, ,0.1
8111.4955270864075, ,0.1
8165.7835252063305, ,0.1
8460.172486633826, ,0.1
8012.791752089576, ,0.1
8156.154063502077, ,0.1
8460.172486633826, ,0.1
8209.944250922259, ,0.1
8156.154063502077, ,0.1
8308.137923597133, ,0.1
8352.413371120409, ,0.1
8209.944250922259, ,0.1
8352.413371120409, ,0.1
8209.944250922259, ,0.1
8111.4955270864075, ,0.1
8406.076545111026, ,0.1
7958.874551239831, ,0.1
8156.154063502077, ,0.1
8406.076545111026, ,0.1
7958.874551239831, ,0.1
7958.874551239831, ,0.1
8200.251282503223, ,0.1
8156.154063502077, ,0.1
8101.930084247862, ,0.1
8317.958417596656, ,0.1
8406.076545111026, ,0.1
8057.641832951442, ,0.1
8156.154063502077, ,0.1
8352.413371120409, ,0.1
8254.411242891732, ,0.1
7904.5225342542, ,0.1
8308.137923597133, ,0.1
8406.076545111026, ,0.1
8057.641832951442, ,0.1
8209.944250922259, ,0.1
8308.137923597133, ,0.1
8101.930084247862, ,0.1
8003.3538348315205, ,0.1
8308.137923597133, ,0.1
8396.128525531014, ,0.1
8111.4955270864075, ,0.1
8101.930084247862, ,0.1
8406.076545111026, ,0.1
7859.8522183672385, ,0.1
8057.641832951442, ,0.1
8450.160448188108, ,0.1
8156.154063502077, ,0.1
8156.154063502077, ,0.1
8200.251282503223, ,0.1
8352.413371120409, ,0.1
8003.3538348315205, ,0.1
8101.930084247862, ,0.1
8503.760115463943, ,0.1
8057.641832951442, ,0.1
8156.154063502077, ,0.1
8254.411242891732, ,0.1
8308.137923597133, ,0.1
8111.4955270864075, ,0.1
8209.944250922259, ,0.1
8503.760115463943, ,0.1
8111.4955270864075, ,0.1
8165.7835252063305, ,0.1
8406.076545111026, ,0.1
8308.137923597133, ,0.1
8012.791752089576, ,0.1
8209.944250922259, ,0.1
8460.172486633826, ,0.1
8057.641832951442, ,0.1
8165.7835252063305, ,0.1
8460.172486633826, ,0.1
8111.4955270864075, ,0.1
8111.4955270864075, ,0.1
8254.411242891732, ,0.1
8406.076545111026, ,0.1
8111.4955270864075, ,0.1
8209.944250922259, ,0.1
8352.413371120409, ,0.1
7904.5225342542, ,0.1
8012.791752089576, ,0.1
8200.251282503223, ,0.1
8254.411242891732, ,0.1
8111.4955270864075, ,0.1
8264.168230176474, ,0.1
8352.413371120409, ,0.1
7958.874551239831, ,0.1
7904.5225342542, ,0.1
8298.317429597608, ,0.1
8200.251282503223, ,0.1
8156.154063502077, ,0.1
8308.137923597133, ,0.1
8352.413371120409, ,0.1
8003.3538348315205, ,0.1
8057.641832951442, ,0.1
8352.413371120409, ,0.1
8200.251282503223, ,0.1
8057.641832951442, ,0.1
8254.411242891732, ,0.1
8298.317429597608, ,0.1
8057.641832951442, ,0.1
8111.4955270864075, ,0.1
8352.413371120409, ,0.1
8101.930084247862, ,0.1
8165.7835252063305, ,0.1
8308.137923597133, ,0.1
8254.411242891732, ,0.1
8012.791752089576, ,0.1
8057.641832951442, ,0.1
8406.076545111026, ,0.1
